time,canopy.ca_conc,canopy.lai,leaf.d13c,apar,A,d13c,Acg_lim,Ajg_lim,Apg_lim,cb,ci,cc,gb,gs,gi,g,rd,m,G_dir,k_dir,k_diff,k_dirprime,k_diffprime,k_vcmax,lscattering,alb_dir,alb_diff,alb_dir_can,alb_diff_can
        1878,      289.55,           5,f_d13c_classical,    828.1366,    21.47199,    20.95568,           0,    2.632845,           0,           0,    23.26771,    23.26771,         Inf,   0.5690950,         Inf,   0.5690950,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1879,      289.77,           5,f_d13c_classical,    828.1366,    21.48698,    20.95671,           0,    2.633675,           0,           0,    23.28546,    23.28546,         Inf,   0.5690628,         Inf,   0.5690628,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1880,      290.00,           5,f_d13c_classical,    828.1366,    21.50263,    20.95778,           0,    2.634541,           0,           0,    23.30402,    23.30402,         Inf,   0.5690290,         Inf,   0.5690290,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1881,      290.24,           5,f_d13c_classical,    828.1366,    21.51896,    20.95891,           0,    2.635443,           0,           0,    23.32339,    23.32339,         Inf,   0.5689937,         Inf,   0.5689937,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1882,      290.51,           5,f_d13c_classical,    828.1366,    21.53732,    20.96017,           0,    2.636457,           0,           0,    23.34518,    23.34518,         Inf,   0.5689537,         Inf,   0.5689537,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1883,      290.80,           5,f_d13c_classical,    828.1366,    21.55703,    20.96152,           0,    2.637545,           0,           0,    23.36858,    23.36858,         Inf,   0.5689107,         Inf,   0.5689107,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1884,      291.13,           5,f_d13c_classical,    828.1366,    21.57945,    20.96305,           0,    2.638780,           0,           0,    23.39522,    23.39522,         Inf,   0.5688615,         Inf,   0.5688615,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1885,      291.48,           5,f_d13c_classical,    828.1366,    21.60321,    20.96468,           0,    2.640089,           0,           0,    23.42346,    23.42346,         Inf,   0.5688091,         Inf,   0.5688091,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1886,      291.86,           5,f_d13c_classical,    828.1366,    21.62899,    20.96643,           0,    2.641506,           0,           0,    23.45413,    23.45413,         Inf,   0.5687519,         Inf,   0.5687519,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1887,      292.25,           5,f_d13c_classical,    828.1366,    21.65543,    20.96824,           0,    2.642958,           0,           0,    23.48560,    23.48560,         Inf,   0.5686929,         Inf,   0.5686929,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1888,      292.65,           5,f_d13c_classical,    828.1366,    21.68253,    20.97008,           0,    2.644443,           0,           0,    23.51789,    23.51789,         Inf,   0.5686321,         Inf,   0.5686321,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1889,      293.05,           5,f_d13c_classical,    828.1366,    21.70960,    20.97192,           0,    2.645926,           0,           0,    23.55017,    23.55017,         Inf,   0.5685710,         Inf,   0.5685710,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1890,      293.46,           5,f_d13c_classical,    828.1366,    21.73734,    20.97379,           0,    2.647442,           0,           0,    23.58326,    23.58326,         Inf,   0.5685080,         Inf,   0.5685080,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1891,      293.86,           5,f_d13c_classical,    828.1366,    21.76437,    20.97562,           0,    2.648918,           0,           0,    23.61555,    23.61555,         Inf,   0.5684463,         Inf,   0.5684463,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1892,      294.25,           5,f_d13c_classical,    828.1366,    21.79072,    20.97740,           0,    2.650355,           0,           0,    23.64703,    23.64703,         Inf,   0.5683857,         Inf,   0.5683857,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1893,      294.62,           5,f_d13c_classical,    828.1366,    21.81569,    20.97908,           0,    2.651715,           0,           0,    23.67689,    23.67689,         Inf,   0.5683281,         Inf,   0.5683281,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1894,      294.98,           5,f_d13c_classical,    828.1366,    21.83997,    20.98072,           0,    2.653035,           0,           0,    23.70595,    23.70595,         Inf,   0.5682717,         Inf,   0.5682717,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1895,      295.30,           5,f_d13c_classical,    828.1366,    21.86154,    20.98217,           0,    2.654207,           0,           0,    23.73178,    23.73178,         Inf,   0.5682214,         Inf,   0.5682214,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1896,      295.60,           5,f_d13c_classical,    828.1366,    21.88175,    20.98352,           0,    2.655304,           0,           0,    23.75600,    23.75600,         Inf,   0.5681741,         Inf,   0.5681741,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1897,      295.86,           5,f_d13c_classical,    828.1366,    21.89926,    20.98470,           0,    2.656253,           0,           0,    23.77699,    23.77699,         Inf,   0.5681329,         Inf,   0.5681329,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1898,      296.11,           5,f_d13c_classical,    828.1366,    21.91608,    20.98582,           0,    2.657164,           0,           0,    23.79717,    23.79717,         Inf,   0.5680932,         Inf,   0.5680932,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1899,      296.34,           5,f_d13c_classical,    828.1366,    21.93156,    20.98686,           0,    2.658001,           0,           0,    23.81574,    23.81574,         Inf,   0.5680566,         Inf,   0.5680566,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1900,      296.56,           5,f_d13c_classical,    828.1366,    21.94635,    20.98785,           0,    2.658801,           0,           0,    23.83350,    23.83350,         Inf,   0.5680214,         Inf,   0.5680214,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1901,      296.80,           5,f_d13c_classical,    828.1366,    21.96248,    20.98892,           0,    2.659673,           0,           0,    23.85287,    23.85287,         Inf,   0.5679830,         Inf,   0.5679830,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1902,      297.04,           5,f_d13c_classical,    828.1366,    21.97860,    20.99000,           0,    2.660543,           0,           0,    23.87225,    23.87225,         Inf,   0.5679445,         Inf,   0.5679445,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1903,      297.29,           5,f_d13c_classical,    828.1366,    21.99539,    20.99112,           0,    2.661449,           0,           0,    23.89243,    23.89243,         Inf,   0.5679043,         Inf,   0.5679043,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1904,      297.57,           5,f_d13c_classical,    828.1366,    22.01419,    20.99237,           0,    2.662462,           0,           0,    23.91503,    23.91503,         Inf,   0.5678590,         Inf,   0.5678590,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1905,      297.87,           5,f_d13c_classical,    828.1366,    22.03431,    20.99370,           0,    2.663546,           0,           0,    23.93925,    23.93925,         Inf,   0.5678105,         Inf,   0.5678105,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1906,      298.17,           5,f_d13c_classical,    828.1366,    22.05443,    20.99504,           0,    2.664628,           0,           0,    23.96347,    23.96347,         Inf,   0.5677617,         Inf,   0.5677617,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1907,      298.49,           5,f_d13c_classical,    828.1366,    22.07587,    20.99646,           0,    2.665780,           0,           0,    23.98931,    23.98931,         Inf,   0.5677095,         Inf,   0.5677095,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1908,      298.82,           5,f_d13c_classical,    828.1366,    22.09797,    20.99792,           0,    2.666966,           0,           0,    24.01595,    24.01595,         Inf,   0.5676555,         Inf,   0.5676555,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1909,      299.15,           5,f_d13c_classical,    828.1366,    22.12006,    20.99938,           0,    2.668150,           0,           0,    24.04260,    24.04260,         Inf,   0.5676013,         Inf,   0.5676013,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1910,      299.49,           5,f_d13c_classical,    828.1366,    22.14280,    21.00088,           0,    2.669368,           0,           0,    24.07005,    24.07005,         Inf,   0.5675452,         Inf,   0.5675452,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1911,      299.84,           5,f_d13c_classical,    828.1366,    22.16620,    21.00242,           0,    2.670619,           0,           0,    24.09831,    24.09831,         Inf,   0.5674873,         Inf,   0.5674873,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1912,      300.20,           5,f_d13c_classical,    828.1366,    22.19025,    21.00400,           0,    2.671904,           0,           0,    24.12737,    24.12737,         Inf,   0.5674275,         Inf,   0.5674275,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1913,      300.58,           5,f_d13c_classical,    828.1366,    22.21562,    21.00567,           0,    2.673257,           0,           0,    24.15806,    24.15806,         Inf,   0.5673642,         Inf,   0.5673642,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1914,      300.97,           5,f_d13c_classical,    828.1366,    22.24163,    21.00737,           0,    2.674644,           0,           0,    24.18955,    24.18955,         Inf,   0.5672989,         Inf,   0.5672989,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1915,      301.36,           5,f_d13c_classical,    828.1366,    22.26763,    21.00907,           0,    2.676027,           0,           0,    24.22104,    24.22104,         Inf,   0.5672333,         Inf,   0.5672333,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1916,      301.76,           5,f_d13c_classical,    828.1366,    22.29428,    21.01082,           0,    2.677443,           0,           0,    24.25334,    24.25334,         Inf,   0.5671658,         Inf,   0.5671658,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1917,      302.16,           5,f_d13c_classical,    828.1366,    22.32091,    21.01255,           0,    2.678856,           0,           0,    24.28564,    24.28564,         Inf,   0.5670980,         Inf,   0.5670980,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1918,      302.55,           5,f_d13c_classical,    828.1366,    22.34685,    21.01424,           0,    2.680231,           0,           0,    24.31713,    24.31713,         Inf,   0.5670317,         Inf,   0.5670317,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1919,      302.92,           5,f_d13c_classical,    828.1366,    22.37144,    21.01584,           0,    2.681533,           0,           0,    24.34701,    24.34701,         Inf,   0.5669685,         Inf,   0.5669685,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1920,      303.28,           5,f_d13c_classical,    828.1366,    22.39536,    21.01739,           0,    2.682798,           0,           0,    24.37609,    24.37609,         Inf,   0.5669068,         Inf,   0.5669068,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1921,      303.63,           5,f_d13c_classical,    828.1366,    22.41859,    21.01890,           0,    2.684024,           0,           0,    24.40435,    24.40435,         Inf,   0.5668466,         Inf,   0.5668466,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1922,      303.97,           5,f_d13c_classical,    828.1366,    22.44115,    21.02036,           0,    2.685214,           0,           0,    24.43181,    24.43181,         Inf,   0.5667880,         Inf,   0.5667880,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1923,      304.32,           5,f_d13c_classical,    828.1366,    22.46435,    21.02186,           0,    2.686437,           0,           0,    24.46008,    24.46008,         Inf,   0.5667274,         Inf,   0.5667274,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1924,      304.66,           5,f_d13c_classical,    828.1366,    22.48688,    21.02331,           0,    2.687622,           0,           0,    24.48754,    24.48754,         Inf,   0.5666683,         Inf,   0.5666683,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1925,      305.01,           5,f_d13c_classical,    828.1366,    22.51006,    21.02480,           0,    2.688840,           0,           0,    24.51581,    24.51581,         Inf,   0.5666074,         Inf,   0.5666074,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1926,      305.36,           5,f_d13c_classical,    828.1366,    22.53322,    21.02629,           0,    2.690056,           0,           0,    24.54407,    24.54407,         Inf,   0.5665462,         Inf,   0.5665462,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1927,      305.73,           5,f_d13c_classical,    828.1366,    22.55769,    21.02787,           0,    2.691339,           0,           0,    24.57396,    24.57396,         Inf,   0.5664813,         Inf,   0.5664813,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1928,      306.10,           5,f_d13c_classical,    828.1366,    22.58214,    21.02943,           0,    2.692620,           0,           0,    24.60384,    24.60384,         Inf,   0.5664162,         Inf,   0.5664162,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1929,      306.47,           5,f_d13c_classical,    828.1366,    22.60658,    21.03100,           0,    2.693898,           0,           0,    24.63373,    24.63373,         Inf,   0.5663508,         Inf,   0.5663508,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1930,      306.84,           5,f_d13c_classical,    828.1366,    22.63100,    21.03256,           0,    2.695174,           0,           0,    24.66361,    24.66361,         Inf,   0.5662853,         Inf,   0.5662853,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1931,      307.21,           5,f_d13c_classical,    828.1366,    22.65540,    21.03412,           0,    2.696447,           0,           0,    24.69350,    24.69350,         Inf,   0.5662195,         Inf,   0.5662195,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1932,      307.58,           5,f_d13c_classical,    828.1366,    22.67982,    21.03567,           0,    2.697749,           0,           0,    24.72339,    24.72339,         Inf,   0.5661542,         Inf,   0.5661542,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1933,      307.95,           5,f_d13c_classical,    828.1366,    22.70419,    21.03722,           0,    2.699017,           0,           0,    24.75327,    24.75327,         Inf,   0.5660880,         Inf,   0.5660880,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1934,      308.32,           5,f_d13c_classical,    828.1366,    22.72854,    21.03877,           0,    2.700283,           0,           0,    24.78316,    24.78316,         Inf,   0.5660216,         Inf,   0.5660216,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1935,      308.68,           5,f_d13c_classical,    828.1366,    22.75222,    21.04027,           0,    2.701513,           0,           0,    24.81224,    24.81224,         Inf,   0.5659568,         Inf,   0.5659568,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1936,      309.04,           5,f_d13c_classical,    828.1366,    22.77589,    21.04177,           0,    2.702740,           0,           0,    24.84133,    24.84133,         Inf,   0.5658918,         Inf,   0.5658918,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1937,      309.38,           5,f_d13c_classical,    828.1366,    22.79822,    21.04318,           0,    2.703897,           0,           0,    24.86879,    24.86879,         Inf,   0.5658302,         Inf,   0.5658302,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1938,      309.70,           5,f_d13c_classical,    828.1366,    22.81923,    21.04451,           0,    2.704984,           0,           0,    24.89465,    24.89465,         Inf,   0.5657720,         Inf,   0.5657720,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1939,      310.01,           5,f_d13c_classical,    828.1366,    22.83957,    21.04580,           0,    2.706036,           0,           0,    24.91969,    24.91969,         Inf,   0.5657156,         Inf,   0.5657156,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1940,      310.27,           5,f_d13c_classical,    828.1366,    22.85662,    21.04687,           0,    2.706917,           0,           0,    24.94069,    24.94069,         Inf,   0.5656681,         Inf,   0.5656681,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1941,      310.50,           5,f_d13c_classical,    828.1366,    22.87170,    21.04782,           0,    2.707695,           0,           0,    24.95928,    24.95928,         Inf,   0.5656260,         Inf,   0.5656260,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1942,      310.68,           5,f_d13c_classical,    828.1366,    22.88349,    21.04856,           0,    2.708303,           0,           0,    24.97382,    24.97382,         Inf,   0.5655930,         Inf,   0.5655930,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1943,      310.82,           5,f_d13c_classical,    828.1366,    22.89266,    21.04914,           0,    2.708776,           0,           0,    24.98513,    24.98513,         Inf,   0.5655673,         Inf,   0.5655673,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1944,      310.93,           5,f_d13c_classical,    828.1366,    22.89987,    21.04959,           0,    2.709147,           0,           0,    24.99402,    24.99402,         Inf,   0.5655471,         Inf,   0.5655471,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1945,      311.03,           5,f_d13c_classical,    828.1366,    22.90641,    21.05000,           0,    2.709484,           0,           0,    25.00210,    25.00210,         Inf,   0.5655287,         Inf,   0.5655287,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1946,      311.12,           5,f_d13c_classical,    828.1366,    22.91231,    21.05037,           0,    2.709787,           0,           0,    25.00937,    25.00937,         Inf,   0.5655122,         Inf,   0.5655122,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1947,      311.23,           5,f_d13c_classical,    828.1366,    22.91951,    21.05082,           0,    2.710158,           0,           0,    25.01826,    25.01826,         Inf,   0.5654919,         Inf,   0.5654919,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1948,      311.36,           5,f_d13c_classical,    828.1366,    22.92801,    21.05136,           0,    2.710596,           0,           0,    25.02876,    25.02876,         Inf,   0.5654679,         Inf,   0.5654679,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1949,      311.52,           5,f_d13c_classical,    828.1366,    22.93848,    21.05201,           0,    2.711134,           0,           0,    25.04169,    25.04169,         Inf,   0.5654384,         Inf,   0.5654384,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1950,      311.71,           5,f_d13c_classical,    828.1366,    22.95091,    21.05279,           0,    2.711773,           0,           0,    25.05704,    25.05704,         Inf,   0.5654033,         Inf,   0.5654033,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1951,      311.92,           5,f_d13c_classical,    828.1366,    22.96464,    21.05365,           0,    2.712478,           0,           0,    25.07400,    25.07400,         Inf,   0.5653644,         Inf,   0.5653644,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1952,      312.16,           5,f_d13c_classical,    828.1366,    22.98033,    21.05463,           0,    2.713283,           0,           0,    25.09340,    25.09340,         Inf,   0.5653200,         Inf,   0.5653200,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1953,      312.44,           5,f_d13c_classical,    828.1366,    22.99862,    21.05577,           0,    2.714221,           0,           0,    25.11602,    25.11602,         Inf,   0.5652679,         Inf,   0.5652679,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1954,      312.75,           5,f_d13c_classical,    828.1366,    23.01886,    21.05704,           0,    2.715258,           0,           0,    25.14107,    25.14107,         Inf,   0.5652102,         Inf,   0.5652102,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1955,      313.09,           5,f_d13c_classical,    828.1366,    23.04104,    21.05842,           0,    2.716394,           0,           0,    25.16854,    25.16854,         Inf,   0.5651467,         Inf,   0.5651467,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1956,      313.48,           5,f_d13c_classical,    828.1366,    23.06647,    21.06000,           0,    2.717694,           0,           0,    25.20005,    25.20005,         Inf,   0.5650737,         Inf,   0.5650737,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1957,      313.93,           5,f_d13c_classical,    828.1366,    23.09580,    21.06182,           0,    2.719190,           0,           0,    25.23642,    25.23642,         Inf,   0.5649892,         Inf,   0.5649892,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1958,      314.75,           5,f_d13c_classical,    828.1366,    23.14920,    21.06513,           0,    2.721909,           0,           0,    25.30268,    25.30268,         Inf,   0.5648352,         Inf,   0.5648352,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1959,      315.53,           5,f_d13c_classical,    828.1366,    23.19989,    21.06826,           0,    2.724485,           0,           0,    25.36571,    25.36571,         Inf,   0.5646871,         Inf,   0.5646871,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1960,      316.44,           5,f_d13c_classical,    828.1366,    23.25894,    21.07189,           0,    2.727477,           0,           0,    25.43925,    25.43925,         Inf,   0.5645133,         Inf,   0.5645133,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1961,      317.15,           5,f_d13c_classical,    828.1366,    23.30495,    21.07471,           0,    2.729802,           0,           0,    25.49663,    25.49663,         Inf,   0.5643770,         Inf,   0.5643770,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1962,      317.94,           5,f_d13c_classical,    828.1366,    23.35500,    21.07786,           0,    4.516747,           0,           0,    25.56053,    25.56053,         Inf,   0.5642007,         Inf,   0.5642007,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1963,      318.46,           5,f_d13c_classical,    828.1366,    23.38695,    21.07994,           0,    4.519532,           0,           0,    25.60263,    25.60263,         Inf,   0.5640635,         Inf,   0.5640635,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1964,      319.06,           5,f_d13c_classical,    828.1366,    23.42379,    21.08233,           0,    4.522744,           0,           0,    25.65120,    25.65120,         Inf,   0.5639049,         Inf,   0.5639049,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
        1965,      319.46,           5,f_d13c_classical,    828.1366,    23.44832,    21.08391,           0,    4.524880,           0,           0,    25.68359,    25.68359,         Inf,   0.5637990,         Inf,   0.5637990,    1.658625,   0.9219544,         0.5,         0.5,   0.7853982,   0.4609772,   0.7241013,         0.2,        0.15,           0,           0,           0,           0
